#,Name,Image,Icon,Availability,Availability 1,Time 1,Availability 2,Time 2,Location,Shadow Type,Tortimer Island Time,Spawn in Island Tour,Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Season (Encyclopedia),Location (Encyclopedia),Size Range (Encyclopedia),Furniture Size,HHA Base Points,Furniture Image,When HHA Lucky,Source Group,Museum Description,Catch Quote,Catch Quote 2,Notes,Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH)
17,catfish,,,May - Oct,May - Oct,4 PM - 9 AM,-,-,Pond (River),Large,-,No,800,640,-,Summer - Fall,Pond (River),,1x1,3,,-,0E,"Catfish are known for their long whiskers, wide bodies, and large mouths, but they don't have fur. Despite having large eyes, they have rather poor eyesight. They make up for this with sensory whiskers. Catfish have small horizontal and vertical lines in their bodies, almost like perforated lines. These holes are for detecting weak electric currents of other fish, making them adept hunters. Catfish are artful carnivores as they swim around lazily but then strike quickly when prey is found.",I caught a catfish! Do you think it has 9 lives?,-,,ナマズ,siluro,siluro,silure,silure,Katzenwels,pesce gatto,메기,22E7,22F1,int_fsh_namazu,No,,,,
18,eel,,,Jun - Sep 15,Jun - Sep 15,4 PM - 9 AM,-,-,River,Long,-,No,"2,000","1,600",-,Summer,River,,2x1,3,,-,0E,"Eels are born in the ocean but swim upstream through rivers when they become adults. They do, however, eventually swim back to the ocean when it is time to lay eggs. Their blood can be toxic, which is why you've never heard of eel sashimi. It's just too dangerous. Cooked eel, however, is edible and has no poisonous effects to speak of, making it a popular dish. For a long time, the egg-laying locations and habits of eels were largely a mystery. However, they are gradually being revealed through research, making eels a very hot topic of study.",I caught an eel! Things just got REAL!,-,,ウナギ,anguila,anguila,anguille,anguille,Aal,anguilla,장어,22E8,22F2,int_fsh_unagi,No,,,,
19,giant snakehead,,,Jun - Aug,Jun - Aug,9 AM - 4 PM,-,-,Pond (River),Very Large,-,No,"5,500","4,400",-,Summer,Pond (River),,2x1,3,,Jun 1 - Aug 31,7A,"Giant snakeheads get their name from the fact that their heads look like those of snakes. Their scales and patterns also look like snakes', really bringing the resemblance to a high degree. They have sharp teeth, so don't poke your finger anywhere near their mouths! Both males and females are well known for protecting their eggs and offspring. They will scare off any other fish that approach by frantically waving their tails.",I caught a giant snakehead! But where's the rest of the snake?,-,,ライギョ,cabeza serpiente,cabeza serpiente,tête-de-serpent,tête-de-serpent,Schlangenkopf,pesce serpente,가물치,22E9,22F3,int_fsh_raigyo,No,,,,
20,bluegill,,,All year,All year,9 AM - 4 PM,-,-,River,Small,-,Yes,120,96,6,Year-round,River,,1x1,3,,-,0E,"Bluegills have spikes on their dorsal fins to help protect them from enemies and harm. Their offspring actually have a fairly high survival rate when compared to other fish. The males chase away the females  and take over protecting the eggs and babies in the nest. Although bluegills are small, they are actually related quite closely to black bass.",I caught a bluegill! There's a lot in this ville!,-,,ブルーギル,pez sol,pez sol,crapet,crapet,Sonnenbarsch,pesce persico,블루길,22EA,22F4,int_fsh_blue,No,,,,
21,yellow perch,,,Oct - Mar,Oct - Mar,All day,-,-,River,Medium,-,No,240,192,-,Fall - Spring,River,,1x1,3,,-,0E,"These fish are relatives of sea bass, though they're preyed on by other, larger fish, such as black bass. Their defining features are their large, prickly dorsal fins and gray stripes on pale-yellow bodies. Ice fishing on frozen lakes is a very popular way to catch them in their native United States and Canada. They are often fried before being eaten, which makes them a simple but tasty meal.",I caught a yellow perch! I wonder if birds usually stand on it!,-,,イエローパーチ,perca amarilla,perca amarilla,perche jaune,perche jaune,Flussbarsch,perca dorata,옐로우퍼치,22EB,22F5,int_fsh_yellow,No,,,,
22,black bass,,,All year,All year,All day,-,-,River,Large,-,Yes,300,240,15,Year-round,River,,1x1,3,,-,0E,"They get their name from their somewhat blackish bodies, though they have a green tint. They usually hide in weeds and wait until other fish approach before forcefully striking. Many people use lures to catch black bass because they are such strong fish. Black bass have a fierce image, as the males will scare off other fish to protect the fry in the nest. They are related to sea bass, so they make for a tasty dinner, though their skin has a very strong odor.",I caught a black bass! I've got some class!,-,,ブラックバス,perca,perca,bar,bar,Barsch,boccalone,큰입배스,22EC,22F6,int_fsh_black,No,,,,
23,pike,,,Sep - Dec,Sep - Dec,4 AM - 9 PM,-,-,River,Very Large,-,No,"1,800","1,440",-,Fall - Winter,River,,2x1,3,,-,0E,"Pike are only found in cold water, so they cannot live in warmer parts of the world. They can grow over three feet long and as such are a very popular fish with anglers. Pike have a slightly protruding jaw and large mouths with sharp teeth, making them powerful predators. They use these teeth for tearing apart not only other fish but also birds and other aquatic creatures.","I caught a pike! Oh, yes, I like!",-,,パイク,lucio,lucio,brochet,brochet,Hecht,luccio nordico,강꼬치고기,22ED,22F7,int_fsh_pike,No,,,,
24,pond smelt,,,Dec - Feb,Dec - Feb,All day,-,-,River,Small,-,No,300,240,-,Winter,River,,1x1,3,,Nov 25 - Feb 24,7C,"Pond smelt are small but vigorous fish that can survive in water of relatively poor quality. Pond smelt are related to salmon and as such have a lot of the same migratory tendencies. Most of them swim from rivers to the ocean and then return to rivers and lakes. However, some of them actually live in lakes that have no connection to the ocean, so they don't migrate. They have small fins and are perfect for eating whole as tempura or grilled on barbecues.",I caught a pond smelt! It could sure use a bath!,-,,ワカサギ,eperlano,eperlano,éperlan,éperlan,Stint,pingo,빙어,22EE,22F8,int_fsh_wakasagi,No,,,,
25,sweetfish,,,Jul - Sep 15,Jul - Sep 15,All day,-,-,River,Medium,-,Yes,900,720,45,Summer,River,,1x1,3,,Jun 1 - Aug 31,7A,"Sweetfish are migratory fish born upstream that travel to the ocean and then return to rivers to spawn. This migratory mind-set is what emphasizes their similarity to salmon. Adult sweetfish have a watermelon- like mossy smell when caught, since they eat moss on riverbed rocks. Sweetfish are very territorial and will attack rivals that encroach on their territory. Anglers use this combative nature against them by using lures made of other sweetfish.",I caught a sweetfish! Hmmm. I've had sweeter!,-,,アユ,ayu,ayu,ayu,ayu,Ayu-Fisch,ayu,은어,22EF,22F9,int_fsh_ayu,No,,,,
26,cherry salmon,,,Mar - Jun; Sep - Nov,Mar - Jun,4 AM - 9 AM & 4 PM - 9 PM,Sep - Nov,4 AM - 9 PM,River,Medium,-,No,"1,000",800,-,Spring/Fall,River,,1x1,3,,-,0E,"The spotted pattern on cherry salmon serves as camouflage and is rather common in all salmon. Most cherry salmon spend their  lives in rivers, but some do migrate to the ocean to fully mature. They are popular with anglers because of their well-balanced physique and beautiful patterns. Plus, their nervous nature makes them a good challenge to catch, which just adds to the fun.",I caught a cherry salmon! Now for a cherry-salmon pie!,-,,ヤマメ,salmón japonés,salmón japonés,saumon rose,saumon rose,Masulachs,salmone giapponese,산천어,22F0,22FA,int_fsh_yamame,No,,,,
27,char,,,Mar - Jun; Sep - Nov,Mar - Jun,4 AM - 9 AM & 4 PM - 9 PM,Sep - Nov,4 AM - 9 PM,Waterfall,Medium,-,No,"3,800","3,040",-,Spring/Fall,Waterfall,,1x1,3,,-,0E,"Char are related to salmon and live in rivers upstream, not generally migrating to the ocean. They prefer colder water and dwell in secluded, clear rivers deep in mountain ranges. Since they tend to hide mostly in between rocks in these cold areas, they can be rather difficult to spot.",I caught a char! How bizarre!,-,,オオイワナ,trucha,trucha,omble,omble,Saibling,salmerino alpino,열목어,22F1,22FB,int_fsh_ooiwana,No,,,,
28,rainbow trout,,,Mar - Jun; Sep - Nov,Mar - Jun,4 AM - 9 AM & 4 PM - 9 PM,Sep - Nov,4 AM - 9 PM,River,Large,-,No,800,640,-,Spring/Fall,River,,1x1,3,,-,0E,"When rainbow trout get bigger, they develop a pretty pink band from their gills to their tails. Some of them spend their entire lives in rivers, while others live in the ocean. Steelhead trout are a unique type of rainbow trout that live in the ocean and return to freshwater to spawn. Rainbow trout are a major species of fish, but finding them in the wild is actually fairly rare.",I caught a rainbow trout! That's what I'm talking about!,-,,ニジマス,trucha arcoíris,trucha arcoíris,truite,truite,Regenbogenforelle,trota iridea,무지개송어,22F2,22FC,int_fsh_nijimasu,No,,,,
29,stringfish,,,Dec - Feb,Dec - Feb,4 PM - 9 AM,-,-,River,Huge,-,No,"15,000","12,000",-,Winter,River,,2x1,3,,-,0E,"Stringfish live in cold rivers, can grow to over a yard long, and are stout and bulky like logs. They live up to 20 years but grow so slowly that it takes them 15 years to reach full maturity. They are called ""phantom fish"" because there are so few of them. Adults are particularly hard to find.",OH MY GOSH! I caught a stringfish! My theory really paid off!,-,,イトウ,taimén,taimén,dai yu,dai yu,Huchen,sperlano,일본연어,22F3,22FD,int_fsh_itou,No,,,,
30,salmon,,,Sep,Sep,All day,-,-,River Mouth,Large,-,No,700,560,-,September,River,,2x1,3,,Sep 1 - Nov 24,7B,"Salmon are popular migratory fish that are born in rivers, migrate to oceans, and return in four years. In Japan, flavored salmon eggs are a very popular dish called ikura, but it hasn't caught on in the US. In rare cases, salmon will only stay in the ocean for one or two years before coming back. These fish are known as ""phantom salmon"" since they're so hard to find in the wild. Their characteristic pink color comes from the shrimp and krill they get in their diet. If they ate differently, their flesh would be white.","I caught a salmon! Oh, that's slammin'!",-,,サケ,salmón,salmón,saumon,saumon,Lachs,salmone,연어,22F4,22FE,int_fsh_sake,No,,,,
31,king salmon,,,Sep,Sep,All day,-,-,River Mouth,Huge,-,No,"1,800","1,440",-,September,River,,2x1,3,,Sep 1 - Nov 24,7B,"King salmon grow to about twice the size of regular salmon, which really helps them embody the name. This size essentially makes them the actual kings of salmon, though they are also called chinook salmon. In some regions, they return to the river in spring or summer and live there until spawning in the fall. In rare cases, king salmons' meat will be white, but these are not as popular since pink is the standard.",Woohoo! Woohoo! I caught a king salmon! Where are his horses and men?,-,,キングサーモン,salmón real,salmón real,saumon roi,saumon roi,Königslachs,salmone reale,왕연어,22F5,22FF,int_fsh_king,No,,,,
32,mitten crab,,,Sep 16 - Nov,Sep 16 - Nov,4 PM - 9 AM,-,-,River,Small,-,No,"2,000","1,600",-,Fall,River,,1x1,3,,-,0E,"Officially known as the mitten crab, they also go by the name ""shanghai crab."" They are commonly used in Chinese dishes, which is how most people become familiar with them. Their breeding habits are the complete opposite of salmon in that they hatch in the ocean first. They then move up rivers when they reach adult size, returning to the ocean in order to spawn.","I caught a mitten crab! I'm smitten, crab!",-,,シャンハイガニ,cangrejo de Shanghái,cangrejo de Shanghái,crabe chinois,crabe chinois,Wollhandkrabbe,granchio guantato,참게,22F6,2300,int_fsh_syanhai,Yes,,,,
33,guppy,,,Apr - Nov,Apr - Nov,9 AM - 4 PM,-,-,River,Tiny,-,Yes,"1,300","1,040",65,Spring - Fall,River,,1x1,3,,-,0E,"Guppies are tropical fish that are related to killifish and live in warm rivers. They are popular fish that have been bred to have beautiful flowing tail fins. Mother guppies give birth to their babies after the eggs hatch in their bellies. They give birth at a rate that's nearly constant, so their population tends to grow rather quickly.",I caught a guppy! I gotta show off this puppy!,-,,グッピー,gupi,gupi,guppy,guppy,Guppy,guppy,구피,22F7,2301,int_fsh_guppi,No,,,,
34,nibble fish,,,May - Sep,May - Sep,9 AM - 4 PM,-,-,River,Small,-,No,"1,500","1,200",-,Spring - Fall,River,,1x1,3,,-,0E,"The official name given to this warm-water-dwelling species of fish is ""Garra rufa."" They are omnivorous, as they both eat algae and scrape the skin off other fish. All you'd have to do to feed them is stick your hand in the tank; they would live off your dead skin. That's why they're called nibble fish. They exfoliate but don't have any teeth, so it doesn't hurt at all!",I caught a nibble fish! Do you regret nibbling now?,-,,ドクターフィッシュ,pez doctor,pez doctor,poisson docteur,poisson docteur,Doktorfisch,garra rufa,닥터피시,22F8,2302,int_fsh_doctor,Yes,,,,
35,angelfish,,,May - Oct,May - Oct,4 PM - 9 AM,-,-,River,Small,-,No,"3,000","2,400",-,Summer - Fall,River,,1x1,3,,-,0E,"These tropical fish move very gracefully because of long fins  on their backs and underbellies. Males and females are almost impossible to tell apart, making identification tricky. They lay eggs among water plants. Both genders look after the babies while they cling to the weeds. The young look like any other fish, but they gain their angelfish looks once they leave the weeds.",I caught an angelfish! Now where's its harp?,-,,エンゼルフィッシュ,pez ángel,pez ángel,poisson-ange,poisson-ange,Skalar,pesce angelo,천사어,22F9,2303,int_fsh_angel,No,,,,
36,neon tetra,,,Apr - Nov,Apr - Nov,9 AM - 4 PM,-,-,River,Tiny,-,Yes,500,400,25,Spring - Fall,River,,1x1,3,,-,0E,"Neon tetras get their name from the beautiful blue metallic line on their bodies. Although they're shy, gentle fish, surprisingly they're related to piranha, though very distantly. They have very sharp and narrow teeth, an odd contrast to their beauty. They are delicate fish who tend to be very sensitive to the cleanliness and temperature of water.","I caught a neon tetra! Wow, that's far out, man!",-,,ネオンテトラ,tetra neón,tetra neón,néon bleu,néon bleu,Neonsalmler,pesce neon,네온테트라,22FA,2304,int_fsh_neon,No,,,,
37,piranha,,,Jun - Sep 15,Jun - Sep 15,9 AM - 4 PM & 9 PM - 4 AM,-,-,River,Small,-,Yes,"2,500","2,000",125,Summer,River,,1x1,3,,-,0E,"They have terrifyingly sharp teeth, which contributes to their ferocious reputation. Oddly enough, they are actually quite timid, though they are still very dangerous fish. If they can't find food, they will resort to cannibalism or tear apart any animal they can grab hold of. Take care when catching them so they don't end up biting your hand with their sharp teeth!",I caught a piranha! Or did it catch ME?!,-,,ピラニア,piraña,piraña,piranha,piranha,Piranha,piranha,피라니아,22FB,2305,int_fsh_pirania,No,,,,
38,arowana,,,Jun - Sep 15,Jun - Sep 15,4 PM - 9 AM,-,-,River,Large,-,No,"10,000","8,000",-,Summer,River,,2x1,3,,-,0E,Arowanas are ancient fish that have remained basically unchanged for 100 million years. They are known for their large scales and the hair that sticks out from their lower lips. They have a remarkable jumping ability and can leap over a yard above the surface of the water. Males protect babies by keeping them in their mouths and releasing them once they reach a certain size.,I caught an arowana! But where's its bow?,-,,アロワナ,arowana,arowana,arowana,arowana,Arowana,arowana,아로와나,22FC,2306,int_fsh_arowana,No,,,,
39,dorado,,,Jun - Sep,Jun - Sep,4 AM - 9 PM,-,-,River,Very Large,-,Yes,"15,000","12,000",750,Summer - Fall,River,,2x1,3,,-,0E,"Dorado means ""golden"" in Spanish. As the name would indicate, these fish are gold and have black dots. They look like salmon but are very toothy, carnivorous, and related to piranha. They're such ferocious fish that other fish regularly flee from them, fearful of becoming a snack. Their ferocious natures and power make them a prize catch among anglers.",I caught a dorado! I should make that my motto!,-,,ドラド,dorado,dorado,dorade,dorade,Goldmakrele,corifena,황금연어,22FD,2307,int_fsh_dorado,No,,,,
40,gar,,,Jun - Sep,Jun - Sep,4 PM - 9 AM,-,-,Pond (River),Huge,-,No,"6,000","4,800",-,Summer - Fall,Pond (River),,2x1,3,,-,0E,"Their long faces and large mouths make them look like alligators. Some can grow up to three yards. They are ancient fish that haven't changed since they first appeared millions of years ago. They breathe not only through gills, but also by sticking their mouths above the surface of the water. Gar eggs are poisonous, so people all over the world are advised to not eat them—no exceptions.",I caught a gar! It ain't gettin' too far!,-,,ガー,pez caimán,pez caimán,gar,gar,Knochenhecht,luccio,가아,22FE,2308,int_fsh_ga,No,,,,
41,arapaima,,,Jul - Sep,Jul - Sep,4 PM - 9 AM,-,-,River,Huge,-,No,"10,000","8,000",-,Summer,River,,2x2,3,,-,0E,"Arapaima, at over two yards long, are one of the largest freshwater- fish breeds in the world. They've been around for over 100 million years, making them rather ancient fish as well. They breathe through gills but also with an air bladder used by poking their mouths above water. They have hard, course tongues that are used to break down the smaller fish they eat.",I caught an arapaima! And it looks like it's in its prime-a!,-,,ピラルク,pirarucú,pirarucú,arapaïma,arapaïma,Arapaima,pirarucù,피라루쿠,22FF,2309,int_fsh_piraruku,No,,,,
42,saddled bichir,,,Jun - Sep,Jun - Sep,9 PM - 4 AM,-,-,River,Large,-,No,"4,000","3,200",-,Summer,River,,2x1,3,,-,0E,"The cool-looking saddled bichir are ancient fish with spiky fins on their backs. Though they've been around for more than 400 million years, they remain relatively unchanged. They have big appetites and will wait to ambush any fish they think will fit in their mouths. They can grow up to 30 inches long, making them rather large fish indeed. They swim slowly in a way that gives them the appearance of walking like dinosaurs.",Wow! A saddled bichir! Now I'm saddled with guilt!,-,,エンドリケリー,bichir ensillado,bichir ensillado,bichir,bichir,Flösselhecht,polipteride,엔드리케리,2300,230A,int_fsh_endlicheri,Yes,,,,
43,sea butterfly,,,Dec - Feb,Dec - Feb,All day,-,-,Sea,Tiny,-,No,"1,000",800,-,Winter,Sea,,1x1,3,,Nov 25 - Feb 24,7C,"Sea butterflies go with the flow, as they'll drift in cold winter waters along with ice floes. They are called ""ice-floe angels"" because of the mysterious way they swim with their winglike arms. Their heads will open up when they make an attempt to catch their helpless prey. Once its head is opened, it grabs its prey with six special feelers called ""buccal cones."" The only place you'll find both cold- water and tropical sea butterflies swimming together is in this game.",I caught a sea butterfly! I didn't even use a net!,-,,クリオネ,mariposa marina,mariposa marina,clione,clione,See-Engel,cavolinia,클리오네,2301,230B,int_fsh_kurione,No,,,,
44,sea horse,,,Apr - Nov,Apr - Nov,All day,-,-,Sea,Tiny,All day,No,"1,100",880,55,Spring - Fall,Sea,,1x1,3,,-,0E,"Sea horses don't look like fish, but they still share a lot of distinct connections. They use their small dorsal fins and tail fins to swim, but in actuality they're pretty bad swimmers. They wrap their tail fins around seaweed or coral so they won't float away with the current. Once attached, they feed on plankton and small shrimp that float by. The female deposits eggs in the male's pouch, putting the burden of child care on the male.","I caught a sea horse! I meant to, of course!",-,,タツノオトシゴ,caballito de mar,caballito de mar,hippocampe,hippocampe,Seepferdchen,ippocampo,해마,2302,230C,int_fsh_tatsu,No,,,,
